PMID,Title,Dataset,sentence_id,rhetorical_role,label_confidence,local_similarity_to_previous_sentence,similarity_to_opening_anchor,similarity_to_own_role_anchor_loo,previous_role,same_role_as_previous,low_local_similarity_flag,within_role_low_similarity_flag
28321995,"Clinical and microbiological efficacy of 4% Garcinia mangostana L. pericarp gel as local drug delivery in the treatment of chronic periodontitis: A randomized, controlled clinical trial.",Clinical,1,Aim,0.99,,0.7555378675460815,0.1416748613119125,,False,False,False
28321995,"Clinical and microbiological efficacy of 4% Garcinia mangostana L. pericarp gel as local drug delivery in the treatment of chronic periodontitis: A randomized, controlled clinical trial.",Clinical,2,Aim,0.98,0.1416748613119125,0.7555379271507263,0.1416748613119125,Aim,True,False,False
28321995,"Clinical and microbiological efficacy of 4% Garcinia mangostana L. pericarp gel as local drug delivery in the treatment of chronic periodontitis: A randomized, controlled clinical trial.",Clinical,3,Methods,0.99,0.2396133542060852,0.1838378310203552,0.0240259543061256,Aim,False,False,False
28321995,"Clinical and microbiological efficacy of 4% Garcinia mangostana L. pericarp gel as local drug delivery in the treatment of chronic periodontitis: A randomized, controlled clinical trial.",Clinical,4,Methods,0.99,0.052671656012535,0.5054888129234314,0.5086236596107483,Methods,True,False,False
28321995,"Clinical and microbiological efficacy of 4% Garcinia mangostana L. pericarp gel as local drug delivery in the treatment of chronic periodontitis: A randomized, controlled clinical trial.",Clinical,5,Methods,0.99,0.6536489725112915,0.3567683398723602,0.5407077670097351,Methods,True,False,False
28321995,"Clinical and microbiological efficacy of 4% Garcinia mangostana L. pericarp gel as local drug delivery in the treatment of chronic periodontitis: A randomized, controlled clinical trial.",Clinical,6,Methods,0.99,0.36757892370224,0.3052256405353546,0.3030434548854828,Methods,True,False,False
28321995,"Clinical and microbiological efficacy of 4% Garcinia mangostana L. pericarp gel as local drug delivery in the treatment of chronic periodontitis: A randomized, controlled clinical trial.",Clinical,7,Results,0.99,0.4404299259185791,0.4372779130935669,,Methods,False,False,False
28321995,"Clinical and microbiological efficacy of 4% Garcinia mangostana L. pericarp gel as local drug delivery in the treatment of chronic periodontitis: A randomized, controlled clinical trial.",Clinical,8,Conclusion,0.99,0.1295345723628997,0.1013635993003845,-0.0073008248582482,Results,False,False,False
28321995,"Clinical and microbiological efficacy of 4% Garcinia mangostana L. pericarp gel as local drug delivery in the treatment of chronic periodontitis: A randomized, controlled clinical trial.",Clinical,9,Conclusion,0.98,-0.0206280369311571,0.6194510459899902,0.5570850372314453,Conclusion,True,True,True
28321995,"Clinical and microbiological efficacy of 4% Garcinia mangostana L. pericarp gel as local drug delivery in the treatment of chronic periodontitis: A randomized, controlled clinical trial.",Clinical,10,Conclusion,0.96,0.8111129403114319,0.6761857867240906,0.5843629240989685,Conclusion,True,False,False
28474968,Additive Effect of Plasma Rich in Growth Factors With Guided Tissue Regeneration in Treatment of Intrabony Defects in Patients With Chronic Periodontitis: A Split-Mouth Randomized Controlled Clinical Trial.,Clinical,1,Background,0.99,,0.812612771987915,0.5282086133956909,,False,False,False
28474968,Additive Effect of Plasma Rich in Growth Factors With Guided Tissue Regeneration in Treatment of Intrabony Defects in Patients With Chronic Periodontitis: A Split-Mouth Randomized Controlled Clinical Trial.,Clinical,2,Background,0.96,0.2066778540611267,0.5344898700714111,0.2070254832506179,Background,True,False,False
28474968,Additive Effect of Plasma Rich in Growth Factors With Guided Tissue Regeneration in Treatment of Intrabony Defects in Patients With Chronic Periodontitis: A Split-Mouth Randomized Controlled Clinical Trial.,Clinical,3,Background,0.95,0.1635561883449554,0.8209315538406372,0.49092698097229,Background,True,False,False
28474968,Additive Effect of Plasma Rich in Growth Factors With Guided Tissue Regeneration in Treatment of Intrabony Defects in Patients With Chronic Periodontitis: A Split-Mouth Randomized Controlled Clinical Trial.,Clinical,4,Aim,0.99,0.7336288094520569,0.8727589845657349,,Background,False,False,False
28474968,Additive Effect of Plasma Rich in Growth Factors With Guided Tissue Regeneration in Treatment of Intrabony Defects in Patients With Chronic Periodontitis: A Split-Mouth Randomized Controlled Clinical Trial.,Clinical,5,Methods,0.99,0.0457280650734901,0.1166708245873451,0.0445518940687179,Aim,False,True,False
28474968,Additive Effect of Plasma Rich in Growth Factors With Guided Tissue Regeneration in Treatment of Intrabony Defects in Patients With Chronic Periodontitis: A Split-Mouth Randomized Controlled Clinical Trial.,Clinical,6,Methods,0.99,0.0308817215263843,0.349639356136322,0.2387557327747345,Methods,True,True,True
28474968,Additive Effect of Plasma Rich in Growth Factors With Guided Tissue Regeneration in Treatment of Intrabony Defects in Patients With Chronic Periodontitis: A Split-Mouth Randomized Controlled Clinical Trial.,Clinical,7,Methods,0.98,0.3136773109436035,0.4557761251926422,0.2472415566444397,Methods,True,False,False
