PMID,Title,Dataset,sentence_id,rhetorical_role,label_confidence,local_similarity_to_previous_sentence,similarity_to_opening_anchor,similarity_to_own_role_anchor_loo,previous_role,same_role_as_previous,low_local_similarity_flag,within_role_low_similarity_flag
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,1,Background,0.95,,0.8664714097976685,0.6677556037902832,,False,False,False
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,2,Background,0.93,0.6677556037902832,0.9238832592964172,0.6677556037902832,Background,True,False,False
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,3,Aim,0.99,0.8479936718940735,0.9326618909835817,,Background,False,False,False
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,4,Methods,0.99,0.1439278572797775,0.1364605128765106,0.2515087425708771,Aim,False,False,False
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,5,Methods,0.98,0.2622250020503998,0.7995409369468689,0.6910351514816284,Methods,True,False,False
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,6,Methods,0.98,0.8453816175460815,0.8596521615982056,0.5895138382911682,Methods,True,False,False
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,7,Methods,0.9,0.0339824259281158,5.407258868217468e-05,0.1357731819152832,Methods,True,False,False
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,8,Results,0.99,0.255340039730072,-0.0421827211976051,-0.0434607006609439,Methods,False,False,False
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,9,Methods,0.97,0.0210892520844936,0.3131894469261169,0.4048523306846618,Results,False,False,False
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,10,Results,0.99,0.3623571991920471,0.8783800005912781,-0.0434607006609439,Methods,False,False,False
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,11,Conclusion,0.99,-0.09075628221035,-0.0376341976225376,-0.0643027424812316,Results,False,True,False
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,12,Conclusion,0.98,-0.0643027499318122,0.8881791830062866,-0.0643027499318122,Conclusion,True,True,True
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,1,Background,0.99,,0.7858558297157288,,,False,False,False
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,2,Aim,0.99,0.2351385653018951,0.7858557105064392,,Background,False,False,False
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,3,Methods,0.99,0.0682355910539627,0.1174733489751815,0.224662959575653,Aim,False,False,False
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,4,Methods,0.98,0.2009629905223846,0.1543783843517303,0.3623907566070556,Methods,True,False,False
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,5,Methods,0.98,0.1101032346487045,0.4982339143753052,0.2201602756977081,Methods,True,False,False
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,6,Methods,0.98,0.1351168155670166,0.0431533455848693,0.2458610385656356,Methods,True,False,False
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,7,Methods,0.99,0.1378643959760666,0.2399663180112838,0.3389101922512054,Methods,True,False,False
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,8,Methods,0.99,0.0705639198422432,0.1531224548816681,0.1926511526107788,Methods,True,False,False
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,9,Results,0.99,0.2387064695358276,0.193908616900444,0.2780832648277282,Methods,False,False,False
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,10,Results,0.98,0.273301362991333,0.5111405253410339,0.8031619787216187,Results,True,False,False
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,11,Results,0.98,0.7617111206054688,0.6101195216178894,0.7108536958694458,Results,True,False,False
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,12,Results,0.98,0.6591300964355469,0.4311751127243042,0.7862969636917114,Results,True,False,False
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,13,Results,0.97,0.6076737642288208,0.5298929214477539,0.6231626272201538,Results,True,False,False
