PMID,Title,Dataset,n_sentences,mean_label_confidence,mean_local_similarity,min_local_similarity,local_similarity_volatility,local_discontinuity_burden,within_role_discontinuity_burden,mean_similarity_to_opening_anchor,final_similarity_to_opening_anchor,mean_similarity_to_own_role_anchor_loo,observed_roles,required_roles_present,missing_required_roles,n_Background,within_Background_similarity,n_Aim,within_Aim_similarity,n_Methods,within_Methods_similarity,n_Results,within_Results_similarity,n_Conclusion,within_Conclusion_similarity,n_Limitation/Future,within_Limitation/Future_similarity,conclusion_to_aim_alignment,conclusion_to_results_alignment,results_to_methods_alignment,methods_to_aim_alignment,results_to_aim_alignment,conclusion_to_background_plus_aim_alignment,conclusion_plus_future_to_background_plus_aim_alignment
28321995,"Clinical and microbiological efficacy of 4% Garcinia mangostana L. pericarp gel as local drug delivery in the treatment of chronic periodontitis: A randomized, controlled clinical trial.",Clinical,10,0.985,0.3128485743784242,-0.0206280369311571,0.2647538148122116,0.1,0.1,0.4696674764156341,0.6478184163570404,0.3104330772120092,Aim; Conclusion; Methods; Results,True,,0,,2,0.1416748613119125,4,0.225974204018712,1,,3,0.2657392968734105,0,,0.6517491340637207,0.4027951955795288,0.4788282215595245,0.5216058492660522,0.4372779130935669,0.6517491340637207,0.6517491340637207
28474968,Additive Effect of Plasma Rich in Growth Factors With Guided Tissue Regeneration in Treatment of Intrabony Defects in Patients With Chronic Periodontitis: A Split-Mouth Randomized Controlled Clinical Trial.,Clinical,16,0.983125,0.3370194303492705,0.0308817215263843,0.2472991526773972,0.1875,0.125,0.3508597065228969,0.4033622145652771,0.4352868025501569,Aim; Background; Conclusion; Methods; Results,True,,3,0.3231106499830882,1,,3,0.1286306629578272,6,0.4307608405749003,3,0.3117523764570554,0,,0.4833632409572601,0.3878706097602844,0.4038729667663574,0.5000159740447998,0.2080833911895752,0.387861967086792,0.387861967086792
36414947,Effects of omega-3 supplementation as an adjunct to non-surgical periodontal therapy on periodontal parameters in periodontitis patients: a randomized clinical trial.,Clinical,10,0.989,0.3359625322951211,-0.0379314236342906,0.2480138707337207,0.2,0.1,0.3695885255932808,0.3521135672926903,0.3939032277890614,Aim; Background; Conclusion; Methods; Results,True,,1,,1,,5,0.2437534879893064,2,0.4364216327667236,1,,0,,0.8743799924850464,0.216278463602066,0.5567588210105896,0.5558151602745056,0.1824211925268173,0.5963770747184753,0.5963770747184753
27013640,Amoxicillin Plus Metronidazole Therapy for Patients with Periodontitis and Type 2 Diabetes: A 2-year Randomized Controlled Trial.,Clinical,8,0.98625,0.3020069577864238,0.0693036913871765,0.1497669348461899,0.25,0.25,0.3895135968923569,0.3993932455778122,0.4049039483070373,Aim; Conclusion; Methods; Results,True,,0,,1,,1,,5,0.2710180014371872,1,,0,,0.6117837429046631,0.3395507335662842,0.4436478912830353,0.410192608833313,0.3389444649219513,0.6117837429046631,0.6117837429046631
40631715,Evaluation of the periodontal status and systemic diseases in dental patients in Turkey.,Clinical,12,0.985,0.1802310919897123,-0.0617185235023498,0.2314824115717369,0.0833333333333333,0.0833333333333333,0.4827624782919884,0.4404744505882263,0.2063214567800363,Aim; Background; Conclusion; Methods; Results,True,,2,-0.0160937327891588,2,0.063375674188137,3,0.135991821065545,3,0.5701519449551901,2,-0.0617185235023498,0,,0.5906250476837158,0.524234414100647,0.4807910621166229,0.5433112382888794,0.517127513885498,0.6430860757827759,0.6430860757827759
21059869,FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,Clinical,7,0.98,0.3849483678738276,0.1909676194190979,0.1496982121150408,0.1428571428571428,0.1428571428571428,0.5774461584431785,0.5617042034864426,0.4005432248115539,Background; Conclusion; Methods; Results,True,,1,,0,,2,0.485986053943634,3,0.2731861074765523,1,,0,,,0.4284948706626892,0.5394382476806641,,,0.89872145652771,0.89872145652771
28025432,Visfatin levels in gingival crevicular fluid and serum before and after non-surgical treatment for periodontal diseases.,Clinical,11,0.9854545454545456,0.5771308526396751,0.1297061890363693,0.2614633284476946,0.1818181818181818,0.0909090909090909,0.747449819337238,0.8856576383113861,0.6748796511780132,Aim; Conclusion; Methods; Results,True,,0,,2,0.8298982977867126,4,0.2529559495548407,3,0.8064718047777811,2,0.878701388835907,0,,0.9138017892837524,0.861178994178772,0.7839078307151794,0.7290619611740112,0.9299890398979188,0.9138017892837524,0.9138017892837524
40123306,"Systemic Azithromycin as an Adjunct to Non-Surgical Subgingival Instrumentation in the Treatment of Stage III/IV, Grade C Periodontitis: 12-Month Clinical, Microbiological and Cytokine Results of a Randomised Controlled Trial.",Clinical,13,0.9653846153846152,0.3444108767434954,-0.0284970700740814,0.2909287508395834,0.1538461538461538,0.0769230769230769,0.4063083291626893,0.1350663267076015,0.3455492093538244,Aim; Conclusion; Methods; Results,True,,0,,1,,5,0.2661162531003356,5,0.2884643066674471,2,-0.0189532525837421,0,,0.5848697423934937,0.5449527502059937,0.4027677774429321,0.5245379209518433,0.5416461825370789,0.5848697423934937,0.5848697423934937
27145828,"The efficacy of Er,Cr:YSGG laser supported periodontal therapy on the reduction of peridodontal disease related oral malodor: a randomized clinical study.",Clinical,13,0.9884615384615386,0.2324543984917303,-0.0291069410741329,0.1938813453343435,0.2307692307692307,0.1538461538461538,0.3657561307056592,0.4583516530692577,0.3127749472235639,Aim; Conclusion; Methods; Results,True,,0,,1,,7,0.1671758996145356,3,0.4697772761185964,2,-0.0291069410741329,0,,0.6578518152236938,0.3887750804424286,0.6116495728492737,0.5852218270301819,0.268119215965271,0.6578518152236938,0.6578518152236938
27477110,"Treatment of periodontal intrabony defects using autologous platelet-rich fibrin and titanium platelet-rich fibrin: a randomized, clinical, comparative study.",Clinical,9,0.9822222222222222,0.2117960443720221,0.0863427594304084,0.1576095045810864,0.0,0.0,0.342192636595832,0.2251935750246048,0.2677669813856482,Aim; Conclusion; Methods; Results,True,,0,,1,,4,0.2582224272191524,2,0.2334415018558502,2,0.0863427594304084,0,,0.3055537045001983,0.4946634173393249,0.4222617447376251,0.4271630644798279,0.3127670884132385,0.3055537045001983,0.3055537045001983
26811350,Periodontal disease and risk of all cancers among male never smokers: an updated analysis of the Health Professionals Follow-up Study.,Clinical,15,0.9853333333333334,0.3880291562527418,-0.0467706955969333,0.3136216488017868,0.2,0.1333333333333333,0.5049294114112854,0.716085284948349,0.4431272843586547,Background; Conclusion; Limitation/Future; Methods; Results,True,,3,0.1938761162261168,0,,4,0.1956692909200986,4,0.7243883609771729,3,0.225680623203516,1,,,0.7990427017211914,0.6400721073150635,,,0.7333064079284668,0.7539469003677368
33687555,Changes in clinical parameters following adjunctive local sodium hypochlorite gel in minimally invasive nonsurgical therapy (MINST) of periodontal pockets: a 6-month randomized controlled clinical trial.,Clinical,17,0.9752941176470588,0.3875428632018156,-0.0113362614065408,0.227518767223881,0.1764705882352941,0.0588235294117647,0.3927987981587648,0.5760889500379562,0.5133566618623102,Aim; Background; Conclusion; Methods; Results,True,,3,0.6286484599113464,2,0.0106087392196059,4,0.3621220489343007,6,0.3831427643696467,2,0.7092969417572021,0,,0.6427077054977417,0.2662738859653473,0.5180012583732605,0.5130128860473633,0.1393637359142303,0.6231546401977539,0.6231546401977539
25762359,Microbiologic Observations After Four Treatment Strategies Among Patients With Periodontitis Maintaining a High Standard of Oral Hygiene: Secondary Analysis of a Randomized Controlled Clinical Trial.,Clinical,12,0.9925,0.2250626005909659,0.0034229047596454,0.2127240780859723,0.0833333333333333,0.0,0.4151142261301477,0.2014843672513961,0.2777124367654323,Aim; Background; Conclusion; Methods; Results,True,,1,,1,,5,0.2374425360932946,3,0.1698278014858563,2,0.1196857467293739,0,,0.2574574053287506,0.6908907890319824,0.410719096660614,0.5847381353378296,0.3346313238143921,0.269282579421997,0.269282579421997
28667678,"Effects of photodynamic therapy in periodontal treatment: A randomized, controlled clinical trial.",Clinical,9,0.9844444444444445,0.3222163375467062,0.138162299990654,0.128460013847134,0.1111111111111111,0.0,0.3877720650699403,0.3207237906754017,0.4246046543121338,Aim; Conclusion; Methods; Results,True,,0,,1,,4,0.3151192416747411,3,0.3375647912422816,1,,0,,0.5395841598510742,0.5148864984512329,0.4119861721992492,0.5651553869247437,0.1667684018611908,0.5395841598510742,0.5395841598510742
23969907,Treatment of intrabony defects with anorganic bone matrix/p-15 or guided tissue regeneration in patients with aggressive periodontitis.,Clinical,13,0.9823076923076924,0.320041681950291,0.1020741388201713,0.1421943820078972,0.0769230769230769,0.0,0.4523457758701764,0.6235596686601639,0.431641049683094,Aim; Background; Conclusion; Methods; Results,True,,2,0.2390568703413009,1,,2,0.2209782004356384,6,0.3945179720719655,2,0.4756644368171692,0,,0.7626235485076904,0.6064560413360596,0.5266881585121155,0.4536412954330444,0.3881232738494873,0.7259374856948853,0.7259374856948853
37814261,Repurposing Metformin for periodontal disease management as a form of oral-systemic preventive medicine.,Clinical,12,0.9841666666666667,0.3775838105516,-0.0220005214214324,0.3133244317692419,0.25,0.1666666666666666,0.5155771121693155,0.3227621810510754,0.3980230502784252,Background; Conclusion; Methods; Results,True,,2,0.1934225261211395,0,,2,0.0087246969342231,6,0.6075129032135009,2,-0.0220005214214324,0,,,0.5573993921279907,0.5986747145652771,,,0.4615601301193237,0.4615601301193237
